date,intent,sex,age,race,education
1/1/12,Suicide,M,34,Asian/Pacific Islander,4
1/1/12,Suicide,F,21,White,3
1/1/12,Suicide,M,60,White,4
1/1/12,Suicide,M,21,Native American/Native Alaskan,2
1/1/12,Suicide,F,59,White,2
1/1/12,Suicide,F,30,White,4
1/1/12,Homicide,M,58,Black,1
1/1/12,Suicide,M,78,White,4
1/1/12,Suicide,M,60,White,1
1/1/12,Accidental,M,61,White,2
1/1/12,Homicide,M,55,White,2
1/1/12,Suicide,M,66,White,2
1/1/12,Suicide,M,52,White,2
1/1/12,Suicide,M,63,White,3
1/1/12,Suicide,M,40,White,4
1/1/12,Homicide,M,23,Black,1
1/1/12,Suicide,M,57,White,2
1/1/12,Undetermined,M,81,White,2
1/1/12,Suicide,M,63,White,4
1/1/12,Suicide,M,54,White,1
1/1/12,Suicide,M,46,White,2
1/1/12,Homicide,M,52,White,2
1/1/12,Suicide,M,59,White,4
1/1/12,Suicide,M,31,Black,3
1/1/12,Suicide,M,64,Black,2
1/1/12,Suicide,F,36,White,2
1/1/12,Homicide,M,40,Black,3
1/1/12,Homicide,M,45,Hispanic,1
1/1/12,Suicide,M,47,White,2
1/1/12,Homicide,F,53,White,1
1/1/12,Suicide,M,55,White,4
1/1/12,Homicide,M,26,Black,1
1/1/12,Homicide,M,28,White,1
1/1/12,Homicide,M,25,White,1
1/1/12,Homicide,M,68,Black,3
1/1/12,Suicide,M,49,Black,4
1/1/12,Homicide,F,48,Black,4
1/1/12,Suicide,M,68,Black,3
1/1/12,Undetermined,M,45,White,2
1/1/12,Homicide,M,47,White,4
1/1/12,Suicide,M,37,Black,2
1/1/12,Homicide,M,62,White,1
1/1/12,Suicide,M,60,White,2
1/1/12,Suicide,F,53,White,3
1/1/12,Homicide,M,36,Black,1
1/1/12,Homicide,F,41,White,4
1/1/12,Suicide,M,25,White,3
1/1/12,Homicide,M,30,Black,1
1/1/12,Suicide,M,41,Black,2
1/1/12,Homicide,M,39,Black,1
1/1/12,Homicide,M,35,Black,2
1/1/12,Homicide,M,23,Black,2
1/1/12,Homicide,M,19,Black,1
1/1/12,Homicide,M,33,Black,2
1/1/12,Homicide,M,23,Hispanic,1
1/1/12,Homicide,M,46,White,2
1/1/12,Homicide,M,21,Black,2
1/1/12,Homicide,M,42,Black,2
1/1/12,Homicide,M,34,Black,2
1/1/12,Homicide,M,50,White,1
1/1/12,Suicide,M,25,White,2
1/1/12,Suicide,M,67,Black,4
1/1/12,Suicide,M,56,White,2
1/1/12,Suicide,M,55,White,2
1/1/12,Suicide,F,17,White,1
1/1/12,Homicide,M,42,Black,2
1/1/12,Homicide,M,29,Black,2
1/1/12,Suicide,M,82,White,2
1/1/12,Homicide,M,54,Black,3
1/1/12,Homicide,M,22,Black,2
1/1/12,Suicide,M,47,White,3
1/1/12,Homicide,F,24,White,2
1/1/12,Homicide,M,19,White,1
1/1/12,Suicide,M,61,White,2
1/1/12,Suicide,M,77,White,3
1/1/12,Suicide,F,34,White,3
1/1/12,Suicide,F,54,White,1
1/1/12,Suicide,M,75,White,4
1/1/12,Suicide,F,40,White,2
1/1/12,Homicide,M,36,White,2
1/1/12,Suicide,F,39,Black,2
1/1/12,Suicide,M,20,White,1
1/1/12,Suicide,M,28,White,2
1/1/12,Suicide,M,20,Black,1
1/1/12,Homicide,M,78,White,2
1/1/12,Homicide,M,60,White,2
1/1/12,Suicide,M,58,White,2
1/1/12,Suicide,M,59,White,4
1/1/12,Suicide,M,73,White,1
1/1/12,Suicide,M,57,White,1
1/1/12,Homicide,M,28,Black,2
1/1/12,Homicide,F,16,White,1
1/1/12,Homicide,M,31,Black,1
1/1/12,Suicide,M,71,White,2
1/1/12,Suicide,M,42,White,1
1/1/12,Homicide,M,32,Black,2
1/1/12,Suicide,M,48,White,2
1/1/12,Suicide,M,82,White,3
1/1/12,Suicide,M,56,White,1
1/1/12,Suicide,M,41,White,2
1/1/12,Suicide,M,37,White,2
1/1/12,Suicide,M,53,White,2
1/1/12,Suicide,M,32,White,2
1/1/12,Suicide,M,24,White,1
1/1/12,Suicide,M,38,Black,2
1/1/12,Homicide,M,51,White,4
1/1/12,Suicide,M,37,White,2
1/1/12,Suicide,M,57,White,2
1/1/12,Suicide,M,29,White,3
1/1/12,Accidental,M,35,White,2
1/1/12,Homicide,M,36,White,3
1/1/12,Homicide,F,39,White,4
1/1/12,Homicide,F,40,White,2
1/1/12,Suicide,M,51,White,2
1/1/12,Homicide,F,36,White,3
1/1/12,Homicide,M,33,Black,2
1/1/12,Homicide,M,28,Black,2
1/1/12,Suicide,M,15,White,1
1/1/12,Homicide,M,19,Black,1
1/1/12,Suicide,M,55,White,1
1/1/12,Suicide,M,83,Black,1
1/1/12,Suicide,M,36,White,1
1/1/12,Suicide,M,43,White,3
1/1/12,Suicide,M,23,Black,3
1/1/12,Suicide,M,32,White,1
1/1/12,Suicide,M,26,White,2
1/1/12,Suicide,M,61,White,2
1/1/12,Suicide,M,16,White,1
1/1/12,Suicide,F,54,White,2
1/1/12,Undetermined,F,70,White,3
1/1/12,Suicide,M,75,White,4
1/1/12,Suicide,M,33,White,2
1/1/12,Suicide,M,37,White,3
1/1/12,Suicide,F,19,White,2
1/1/12,Suicide,M,24,White,4
1/1/12,Suicide,M,38,White,2
1/1/12,Suicide,M,80,White,2
1/1/12,Suicide,M,36,White,2
1/1/12,Homicide,M,30,White,3
1/1/12,Suicide,M,42,Hispanic,3
1/1/12,Suicide,F,65,White,2
1/1/12,Suicide,F,64,White,2
1/1/12,Homicide,M,24,White,3
1/1/12,Suicide,M,55,Native American/Native Alaskan,3
1/1/12,Suicide,M,35,White,2
1/1/12,Suicide,F,17,White,2
1/1/12,Suicide,F,44,White,3
1/1/12,Homicide,M,19,Hispanic,1
1/1/12,Suicide,M,21,White,3
1/1/12,Suicide,M,69,White,4
1/1/12,Homicide,F,24,Native American/Native Alaskan,1
1/1/12,Suicide,M,61,Hispanic,2
1/1/12,Homicide,M,62,White,3
1/1/12,Homicide,F,62,White,4
1/1/12,Homicide,M,29,Native American/Native Alaskan,1
1/1/12,Suicide,M,70,White,2
1/1/12,Homicide,M,21,White,2
1/1/12,Suicide,F,71,White,4
1/1/12,Suicide,M,39,White,3
1/1/12,Suicide,M,54,White,2
1/1/12,Suicide,M,82,White,4
1/1/12,Homicide,M,60,White,3
1/1/12,Suicide,F,40,White,2
1/1/12,Suicide,M,34,Native American/Native Alaskan,2
1/1/12,Homicide,F,38,Black,1
1/1/12,Homicide,M,28,Native American/Native Alaskan,2
1/1/12,Suicide,M,32,White,2
1/1/12,Homicide,M,21,White,2
1/1/12,Undetermined,M,25,Native American/Native Alaskan,2
1/1/12,Suicide,M,28,Hispanic,2
1/1/12,Suicide,M,80,Native American/Native Alaskan,3
1/1/12,Suicide,M,23,Black,1
1/1/12,Suicide,M,72,White,2
1/1/12,Suicide,M,32,White,3
1/1/12,Suicide,M,32,White,2
1/1/12,Homicide,M,50,White,3
1/1/12,Suicide,M,46,White,3
1/1/12,Homicide,M,22,Hispanic,1
1/1/12,Suicide,M,24,White,2
1/1/12,Suicide,M,67,Black,3
1/1/12,Suicide,F,18,White,2
1/1/12,Homicide,F,25,Native American/Native Alaskan,2
1/1/12,Suicide,M,26,Native American/Native Alaskan,2
1/1/12,Suicide,M,18,Hispanic,1
1/1/12,Suicide,M,59,White,3
1/1/12,Homicide,M,56,White,3
1/1/12,Suicide,M,91,White,3
1/1/12,Suicide,F,42,White,2
1/1/12,Suicide,M,66,White,3
1/1/12,Suicide,M,32,White,3
1/1/12,Suicide,M,51,Hispanic,2
1/1/12,Homicide,M,47,Hispanic,1
1/1/12,Homicide,M,35,Native American/Native Alaskan,4
