State,Murder,Population,Illiteracy,Income,Frost
Alabama,15.1,3615,2.1,3624,20
Alaska,11.3,365,1.5,6315,152
Arizona,7.8,2212,1.8,4530,15
Arkansas,10.1,2110,1.9,3378,65
California,10.3,21198,1.1,5114,20
Colorado,6.8,2541,0.7,4884,166
Connecticut,3.1,3100,1.1,5348,139
Delaware,6.2,579,0.9,4809,103
Florida,10.7,8277,1.3,4815,11
Georgia,13.9,4931,2,4091,60
Hawaii,6.2,868,1.9,4963,0
Idaho,5.3,813,0.6,4119,126
Illinois,10.3,11197,0.9,5107,127
Indiana,7.1,5313,0.7,4458,122
Iowa,2.3,2861,0.5,4628,140
Kansas,4.5,2280,0.6,4669,114
Kentucky,10.6,3387,1.6,3712,95
Louisiana,13.2,3806,2.8,3545,12
Maine,2.7,1058,0.7,3694,161
Maryland,8.5,4122,0.9,5299,101
Massachusetts,3.3,5814,1.1,4755,103
Michigan,11.1,9111,0.9,4751,125
Minnesota,2.3,3921,0.6,4675,160
Mississippi,12.5,2341,2.4,3098,50
Missouri,9.3,4767,0.8,4254,108
Montana,5,746,0.6,4347,155
Nebraska,2.9,1544,0.6,4508,139
Nevada,11.5,590,0.5,5149,188
New Hampshire,3.3,812,0.7,4281,174
New Jersey,5.2,7333,1.1,5237,115
New Mexico,9.7,1144,2.2,3601,120
New York,10.9,18076,1.4,4903,82
North Carolina,11.1,5441,1.8,3875,80
North Dakota,1.4,637,0.8,5087,186
Ohio,7.4,10735,0.8,4561,124
Oklahoma,6.4,2715,1.1,3983,82
Oregon,4.2,2284,0.6,4660,44
Pennsylvania,6.1,11860,1,4449,126
Rhode Island,2.4,931,1.3,4558,127
South Carolina,11.6,2816,2.3,3635,65
South Dakota,1.7,681,0.5,4167,172
Tennessee,11,4173,1.7,3821,70
Texas,12.2,12237,2.2,4188,35
Utah,4.5,1203,0.6,4022,137
Vermont,5.5,472,0.6,3907,168
Virginia,9.5,4981,1.4,4701,85
Washington,4.3,3559,0.6,4864,32
West Virginia,6.7,1799,1.4,3617,100
Wisconsin,3,4589,0.7,4468,149
Wyoming,6.9,376,0.6,4566,173
